Station Name,City,State,Latitude,Longitude,Operator,Usage Type,Connector Type,Power (kW)
Shobha City Mall EVCS - GO EC,Thrissur,Kerala,10.548946556742209,76.18304110696954,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Shobha City Mall EVCS - GO EC,Thrissur,Kerala,10.548946556742209,76.18304110696954,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0
Shobha City Mall EVCS - GO EC,Thrissur,Kerala,10.548946556742209,76.18304110696954,GO EC (IN),Public - Membership Required,Type 2 (Tethered Connector) ,7.4
Amala Smart EVCS - GO EC,Peramangalam,Kerala,10.564967494138358,76.16598425547983,GO EC (IN),Public - Membership Required,CCS (Type 2),80.0
Amala Smart EVCS - GO EC,Peramangalam,Kerala,10.564967494138358,76.16598425547983,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Sree Sankara EVCS - GO EC,Vadanappalli,Kerala,10.487291202025474,76.07083611597062,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Green Drive EV Super Charging Station,Vadanappilly,Kerala,10.494542466430332,76.06584744162075,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Sree Krishna Hotel - GO EC,Guruvayoor,Kerala,10.598447823364936,76.03636788702198,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Palakkad Ahalia Women and Childern Hospital EVCS - GO EC,Elappully,Kerala,10.797308592491405,76.82754081494369,GO EC (IN),Public - Membership Required,Type 2 (Tethered Connector) ,7.4
Palakkad Ahalia Women and Childern Hospital EVCS - GO EC,Elappully,Kerala,10.797308592491405,76.82754081494369,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Palakkad Ahalia Eye Hospital EVCS - GO EC,Elappully,Kerala,10.79348727039229,76.82652950538215,GO EC (IN),Public - Membership Required,Type 2 (Tethered Connector) ,7.4
Palakkad Ahalia Eye Hospital EVCS - GO EC,Elappully,Kerala,10.79348727039229,76.82652950538215,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Palakkad Ahalia Food Point EVCS - GO EC,Elappully,Kerala,10.792032259171833,76.82834711933714,GO EC (IN),Public - Membership Required,Type 2 (Tethered Connector) ,7.4
Palakkad Ahalia Food Point EVCS - GO EC,Elappully,Kerala,10.792032259171833,76.82834711933714,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Ahalia Walayar - GO EC,Walayar,Kerala,10.826593048149789,76.82605307444436,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Ahalia Walayar - GO EC,Walayar,Kerala,10.826593048149789,76.82605307444436,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Le Sky Dine EVCS - GO EC,Palakkad,Kerala,10.773957251049566,76.69819741498287,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Le Sky Dine EVCS - GO EC,Palakkad,Kerala,10.773957251049566,76.69819741498287,GO EC (IN),Public - Membership Required,Type 2 (Tethered Connector) ,7.0
Doctor Green EVCS - GO EC,Alathur,Kerala,10.646166361085193,76.55140239344632,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Doctor Green EVCS - GO EC,Alathur,Kerala,10.646166361085193,76.55140239344632,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
SJ Eco Power Charge - GO EC,Alathur,Kerala,10.638304424407124,76.52393013576875,GO EC (IN),Public - Membership Required,Type 2 (Tethered Connector) ,7.4
SJ Eco Power Charge - GO EC,Alathur,Kerala,10.638304424407124,76.52393013576875,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Jeevz - GO EC,Vadakkencherry,Kerala,10.593239028175063,76.48253527396616,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0
Sanjeevani Green - GO EC,Thiruvilwamala,Kerala,10.710021712685972,76.42879294152868,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0
Sanjeevani Green - GO EC,Thiruvilwamala,Kerala,10.710021712685972,76.42879294152868,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Green Valley - GO EC,Thirissur,Kerala,10.69271606194583,76.26858375420068,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Green Valley - GO EC,Thirissur,Kerala,10.69271606194583,76.26858375420068,GO EC (IN),Public - Membership Required,Type 2 (Tethered Connector) ,7.4
Green Valley - GO EC,Thirissur,Kerala,10.69271606194583,76.26858375420068,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
AR Dine - GO EC,Cheruthuruthi,Kerala,10.750381972119513,76.27475659553528,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0
EV Super Charging Station,Pattambi,Kerala,10.80479517192704,76.20815708375358,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Pattambi Power Bank - GO EC,Pattambi,Kerala,10.811068529416133,76.18644369742708,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Pattambi Power Bank - GO EC,Pattambi,Kerala,10.811068529416133,76.18644369742708,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
New Kerala Hotel EVCS - GO EC,Nhangattiri,Kerala,10.784880988938937,76.17067627366248,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Oasis EV Super Charging Station,Mannarkkad,Kerala,10.933556620012695,76.52721710150968,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Oasis EV Super Charging Station,Mannarkkad,Kerala,10.933556620012695,76.52721710150968,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Shalimar EVCS - GO EC,Perinthalmanna,Kerala,10.96529678353042,76.2838983337245,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0
Shalimar EVCS - GO EC,Perinthalmanna,Kerala,10.96529678353042,76.2838983337245,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Green Zone EVCS - GO EC,Valanchery,Kerala,10.873413080879715,76.06245822988649,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Green Zone EVCS - GO EC,Valanchery,Kerala,10.873413080879715,76.06245822988649,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Unicorn Power EVCS - GO EC,Edappal,Kerala,10.809946636248299,76.00873437017219,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
CG Cafe EVCS - GO EC,Pandikkad,Kerala,11.139596145163637,76.23611346181906,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Karulai Malayora Express EVCS - GO EC,Karulai,Kerala,11.288049483016962,76.2979817145112,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Jam Joom Super Market - GO EC,Nilambur,Kerala,11.286680725471314,76.23926379142972,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0
ABS Motors - GO EC,Nilambur,Kerala,11.253647260873336,76.20190120433364,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
VP Mall EVCS - GO EC,Manjeri,Kerala,11.128915821482948,76.11539460586829,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
VP Mall EVCS - GO EC,Manjeri,Kerala,11.128915821482948,76.11539460586829,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Jam Joom EV Charging Station - GO EC,Malappuram,Kerala,11.043180592356805,76.08430155752035,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0
HIQ Highway Market - GO EC,Venniyour,Kerala,11.021175494360463,75.94812608969005,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Chargify EV Super Charging Station ,Malappuram,Kerala,11.07841705440245,75.90276391559283,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Reliance Fresh EVCS - GO EC,Kozhikode,Keral,11.23473742288897,75.84670658837746,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Top Dines Hotel - GO EC,Muthanga,Kerala,11.67080198813612,76.36101965515473,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Cafe Manoila - GO EC,Kalpetta,Kerala,11.597776607258112,76.08013836547212,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0
CGH Wayanad Wild EV Charging Station - GO EC,Lakkidi,Kerala,11.518344247894746,76.02125570474698,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Mall of Mukkom EVCS - GO EC,Mukkom,Kerala,11.319727225409608,75.99551711292489,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
HOTAG EV Charging Station - GO EC,Thamarassery,Kerala,11.404693280918323,75.92956805877805,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0
Green Amp EVCS - GO EC,Kozhikode,Kerala,11.258801023176659,75.80890434709403,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Green Amp EVCS - GO EC,Kozhikode,Kerala,11.258801023176659,75.80890434709403,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Calicut Malabar Gold - GO EC,Kozhikode,Kerala,11.257861801274402,75.78023060486237,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Calicut Malabar Gold - GO EC,Kozhikode,Kerala,11.257861801274402,75.78023060486237,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Calicut Malabar Gold - GO EC,Kozhikode,Kerala,11.257861801274402,75.78023060486237,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Mandrin Sky - GO EC,Kannur,Kerala,11.927559724028896,75.50047314663138,GO EC (IN),Public - Membership Required,CEE 3 Pin,7.0
JSR EVCS - GO EC,Mambaram,Kerala,11.825802052750774,75.50895671019163,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
JSR EVCS - GO EC,Mambaram,Kerala,11.825802052750774,75.50895671019163,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Kannur H&H,Melechowa,Kerala,11.87166370155964,75.39598586155216,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
G Mall - GO EC,Kannur,Kerala,11.88020074722374,75.3746647850135,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Exit 17 - GO EC,Payyannur,Kerala,12.088637731621432,75.25264584630855,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Exit 17 - GO EC,Payyannur,Kerala,12.088637731621432,75.25264584630855,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Periya A Star - GO EC,Hosdurg,Kerala,12.40580531032613,75.09629760947794,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Roshi EVCS (EVOK) - ChargeMOD,Kasaragod,Kerala,12.505974173728816,74.98678088662848,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Kanhangad KSEB EVCS - ChangeMOD,Kanhangad,Kerala,12.34250549258168,75.11266367140311,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Kanhangad KSEB EVCS - ChangeMOD,Kanhangad,Kerala,12.34250549258168,75.11266367140311,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Kanhangad KSEB EVCS - ChangeMOD,Kanhangad,Kerala,12.34250549258168,75.11266367140311,ChargeMod (IN),Public - Membership Required,GB-T DC - GB/T 20234.3,30.0
Kanhangad KSEB EVCS - ChangeMOD,Kanhangad,Kerala,12.34250549258168,75.11266367140311,ChargeMod (IN),Public - Membership Required,CEE 3 Pin,3.3
Ammas Fast - ChargeMOD,Cheruvathur,Kerala,12.227200225146419,75.15911993928029,ChargeMod (IN),Public - Membership Required,CCS (Type 2),60.0
Ammas Fast - ChargeMOD,Cheruvathur,Kerala,12.227200225146419,75.15911993928029,ChargeMod (IN),Public - Membership Required,Type 2 (Tethered Connector) ,7.4
Mathil Service Co-Operative Bank EVCS - ChargeMOD,Mathil,Kerala,12.176970146284106,75.24675579831333,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Mathil Service Co-Operative Bank EVCS - ChargeMOD,Mathil,Kerala,12.176970146284106,75.24675579831333,ChargeMod (IN),Public - Membership Required,Type 2 (Tethered Connector) ,7.4
Mathil Service Co-Operative Bank EVCS - ChargeMOD,Mathil,Kerala,12.176970146284106,75.24675579831333,ChargeMod (IN),Public - Membership Required,CEE 3 Pin,3.3
EQ Point EVCS - ChargeMOD,Payyannur,Kerala,12.207766235160378,75.27945212654578,ChargeMod (IN),Public - Membership Required,CCS (Type 2),25.0
EQ Point EVCS - ChargeMOD,Payyannur,Kerala,12.207766235160378,75.27945212654578,ChargeMod (IN),Public - Membership Required,CEE 3 Pin,3.3
PCR Bank EVCS - ChargeMOD,Bakkalam,Kerala,11.997449451910612,75.37090752986185,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
PCR Bank EVCS - ChargeMOD,Bakkalam,Kerala,11.997449451910612,75.37090752986185,ChargeMod (IN),Public - Membership Required,CEE 3 Pin,3.3
Manjapalam KSEB EVCS - ChargeMOD,Kannur,Kerala,11.878368279471403,75.35952615318283,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Manjapalam KSEB EVCS - ChargeMOD,Kannur,Kerala,11.878368279471403,75.35952615318283,ChargeMod (IN),Public - Membership Required,CHAdeMO,30.0
Manjapalam KSEB EVCS - ChargeMOD,Kannur,Kerala,11.878368279471403,75.35952615318283,ChargeMod (IN),Public - Membership Required,GB-T DC - GB/T 20234.3,30.0
Manjapalam KSEB EVCS - ChargeMOD,Kannur,Kerala,11.878368279471403,75.35952615318283,ChargeMod (IN),Public - Membership Required,Type 2 (Tethered Connector) ,15.0
Eastend Hotel and Resorts - ChargeMOD,Munnar,Kerala,10.087379401509637,77.06169962565411,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Eastend Hotel and Resorts - ChargeMOD,Munnar,Kerala,10.087379401509637,77.06169962565411,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Eastend Hotel and Resorts - ChargeMOD,Munnar,Kerala,10.087379401509637,77.06169962565411,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Sky Penta EVCS - ChargeMOD,Iritty,Kerala,11.98556152906157,75.67618166036556,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Reboost EVCS - ChargeMOD,"Panoor, Kannur",Kerala,11.754866634887236,75.5780650614575,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Mindful EVCS - ChargeMOD,Payyoli,Kerala,11.520444916879683,75.61798774380324,ChargeMod (IN),Public - Membership Required,CCS (Type 2),60.0
Mindful EVCS - ChargeMOD,Payyoli,Kerala,11.520444916879683,75.61798774380324,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Mindful EVCS - ChargeMOD,Payyoli,Kerala,11.520444916879683,75.61798774380324,ChargeMod (IN),Public - Membership Required,Type 2 (Tethered Connector) ,22.0
Mindful EVCS - ChargeMOD,Payyoli,Kerala,11.520444916879683,75.61798774380324,ChargeMod (IN),Public - Membership Required,CEE 3 Pin,3.3
EVOK Charger - ChargeMOD,Kuttiyady,Kerala,11.648901043860448,75.75593648237526,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Banasura Sagar KSEB EVCS - ChargeMOD,Padinjarathara,Kerala,11.672923978163226,75.95730580932587,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Banasura Sagar KSEB EVCS - ChargeMOD,Padinjarathara,Kerala,11.672923978163226,75.95730580932587,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Banasura Sagar KSEB EVCS - ChargeMOD,Padinjarathara,Kerala,11.672923978163226,75.95730580932587,ChargeMod (IN),Public - Membership Required,GB-T DC - GB/T 20234.3,30.0
Banasura Sagar KSEB EVCS - ChargeMOD,Padinjarathara,Kerala,11.672923978163226,75.95730580932587,ChargeMod (IN),Public - Membership Required,CEE 3 Pin,3.3
Empire Restaurant - ChargeMOD,Tharuvana,Kerala,11.736405311635153,75.98674422775375,ChargeMod (IN),Public - Membership Required,CCS (Type 2),60.0
Hotel Wayanad Square - ChargeMOD,Mananthavady,Kerala,11.796977641816383,76.00660113182988,ChargeMod (IN),Public - Membership Required,CCS (Type 2),60.0
Adhithya (EVOK) - ChargeMOD,Sulthan Bathery,Kerala,11.66208634339526,76.26492171189932,ChargeMod (IN),Public - Membership Required,CCS (Type 2),60.0
Adhithya (EVOK) - ChargeMOD,Sulthan Bathery,Kerala,11.66208634339526,76.26492171189932,ChargeMod (IN),Public - Membership Required,CCS (Type 2),24.0
Adhithya (EVOK) - ChargeMOD,Sulthan Bathery,Kerala,11.66208634339526,76.26492171189932,ChargeMod (IN),Public - Membership Required,CEE 3 Pin,3.3
Meenangadi EVCS - ChargeMOD,Meenangadi,Kerala,11.654045695974418,76.15358523502817,ChargeMod (IN),Public - Membership Required,CCS (Type 2),60.0
Konfudha Resort - ChargeMOD,Kalpetta,Kerala,11.591455451778742,76.0709097761802,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Konfudha Resort - ChargeMOD,Kalpetta,Kerala,11.591455451778742,76.0709097761802,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Konfudha Resort - ChargeMOD,Kalpetta,Kerala,11.591455451778742,76.0709097761802,ChargeMod (IN),Public - Membership Required,Type 2 (Tethered Connector) ,22.0
Konfudha Resort - ChargeMOD,Kalpetta,Kerala,11.591455451778742,76.0709097761802,ChargeMod (IN),Public - Membership Required,CEE 3 Pin,3.3
Vythiri KSEB EVCS - ChargeMOD,Vythiri,Kerala,11.545753724925504,76.03937192662642,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Vythiri KSEB EVCS - ChargeMOD,Vythiri,Kerala,11.545753724925504,76.03937192662642,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Vythiri KSEB EVCS - ChargeMOD,Vythiri,Kerala,11.545753724925504,76.03937192662642,ChargeMod (IN),Public - Membership Required,GB-T DC - GB/T 20234.3,30.0
Vythiri KSEB EVCS - ChargeMOD,Vythiri,Kerala,11.545753724925504,76.03937192662642,ChargeMod (IN),Public - Membership Required,CEE 3 Pin,3.3
Thamarassery KESEB EVCS - ChargeMOD,Thamarassery,Kerala,11.444087429515278,75.95587690828086,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Thamarassery KESEB EVCS - ChargeMOD,Thamarassery,Kerala,11.444087429515278,75.95587690828086,ChargeMod (IN),Public - Membership Required,CHAdeMO,30.0
Thamarassery KESEB EVCS - ChargeMOD,Thamarassery,Kerala,11.444087429515278,75.95587690828086,ChargeMod (IN),Public - Membership Required,Type 2 (Tethered Connector) ,22.0
Thamarassery KESEB EVCS - ChargeMOD,Thamarassery,Kerala,11.444087429515278,75.95587690828086,ChargeMod (IN),Public - Membership Required,GB-T DC - GB/T 20234.3,15.0
Locus EVCS - ChargeMOD,Koduvally,Kerala,11.339683842558287,75.89871568981823,ChargeMod (IN),Public - Membership Required,CCS (Type 2),120.0
Locus EVCS - ChargeMOD,Koduvally,Kerala,11.339683842558287,75.89871568981823,ChargeMod (IN),Public - Membership Required,CCS (Type 2),60.0
Locus EVCS - ChargeMOD,Koduvally,Kerala,11.339683842558287,75.89871568981823,ChargeMod (IN),Public - Membership Required,Type 2 (Tethered Connector) ,22.0
Yadav EV Charging Station - ChargeMOD,Kunnamangalam,Kerala,11.311692154536999,75.88259339920793,ChargeMod (IN),Public - Membership Required,CCS (Type 2),60.0
Kuttoth Enterprises EVCS - ChargeMOD,Kozhikode,Kerala,11.28067356202429,75.8246316733898,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
RG Nallanna EVCS (EVOK) - ChargeMOD,Kozhikode,Kerala,11.280814669423393,75.82434977256585,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Solar Sparks EVCS - ChargeMOD,Koyilandi,Kerala,11.427675411349242,75.70299624247721,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Solar Sparks EVCS - ChargeMOD,Koyilandi,Kerala,11.427675411349242,75.70299624247721,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Solar Sparks EVCS - ChargeMOD,Koyilandi,Kerala,11.427675411349242,75.70299624247721,ChargeMod (IN),Public - Membership Required,Type 2 (Tethered Connector) ,22.0
Solar Sparks EVCS - ChargeMOD,Koyilandi,Kerala,11.427675411349242,75.70299624247721,ChargeMod (IN),Public - Membership Required,CEE 3 Pin,3.3
Hotel Arcore,Mysuru,Karnataka,12.352687402465657,76.62920329960255,Zeon Charging,Public,CCS (Type 2),60.0
Hotel Arcore,Mysuru,Karnataka,12.352687402465657,76.62920329960255,Zeon Charging,Public,CCS (Type 2),60.0
Manipal Hospital Mysore,Mysuru,Karnataka ,12.350145879658738,76.66019890702132,Zeon Charging,Public,CCS (Type 2),60.0
Pavangad KSEB EVCS - ChargeMOD,Pavangad,Kerala,11.312411619159988,75.75859062889714,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Pavangad KSEB EVCS - ChargeMOD,Pavangad,Kerala,11.312411619159988,75.75859062889714,ChargeMod (IN),Public - Membership Required,CHAdeMO,30.0
Pavangad KSEB EVCS - ChargeMOD,Pavangad,Kerala,11.312411619159988,75.75859062889714,ChargeMod (IN),Public - Membership Required,Type 2 (Tethered Connector) ,22.0
Pavangad KSEB EVCS - ChargeMOD,Pavangad,Kerala,11.312411619159988,75.75859062889714,ChargeMod (IN),Public - Membership Required,GB-T DC - GB/T 20234.3,15.0
Gandhi Road KSEB EVCS - ChargeMOD,Kozhikode,Kerala,11.262784457971506,75.76824105215104,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Gandhi Road KSEB EVCS - ChargeMOD,Kozhikode,Kerala,11.262784457971506,75.76824105215104,ChargeMod (IN),Public - Membership Required,CHAdeMO,30.0
Gandhi Road KSEB EVCS - ChargeMOD,Kozhikode,Kerala,11.262784457971506,75.76824105215104,ChargeMod (IN),Public - Membership Required,Type 2 (Tethered Connector) ,22.0
Gandhi Road KSEB EVCS - ChargeMOD,Kozhikode,Kerala,11.262784457971506,75.76824105215104,ChargeMod (IN),Public - Membership Required,GB-T DC - GB/T 20234.3,15.0
Mountainpass Residency - ChargeMOD,Vazhikadavu,Kerala,11.386628059572274,76.35472249074127,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Trends Edavannappara EVCS - ChargeMOD,Edavannappara,Kerala,11.245323145434341,75.97749174887804,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Indus Motors - ChargeMOD,Feroke,Kerala,11.180743762022217,75.85119863600679,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Kay Pees Electricals (EVOK) - ChargeMOD,Pulikkal,Kerala,11.168867778013905,75.92676863268412,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
RG Nallanna EVCS (EVOK) - ChargeMOD,Aikkarapadi,Kerala,11.17327990543808,75.9021517982653,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
NOS2 Varalakshmi Motors EVCS - ChargeMOD,Pingottormad,Kerala,11.144918979517485,75.89616975961107,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Tirur KSEB EVCS - ChargeMOD,Tirur,Kerala,10.916247276818709,75.9182865420172,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Tirur KSEB EVCS - ChargeMOD,Tirur,Kerala,10.916247276818709,75.9182865420172,ChargeMod (IN),Public - Membership Required,GB-T DC - GB/T 20234.3,15.0
Tirur KSEB EVCS - ChargeMOD,Tirur,Kerala,10.916247276818709,75.9182865420172,ChargeMod (IN),Public - Membership Required,CEE 3 Pin,3.3
Relax Point Restaurant,Karippol,Kerala,10.922820413293309,76.03291841407719,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Relax Point Restaurant,Karippol,Kerala,10.922820413293309,76.03291841407719,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Thirunilath ECVS Charging Station - ChargeMOD,Kottakkal,Kerala,11.001726591966232,75.98044942341241,ChargeMod (IN),Public - Membership Required,CCS (Type 2),60.0
Malappuram KSEB EVCS - ChargeMOD,Munduparamba,Kerala,11.054224531620463,76.09214302066454,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Malappuram KSEB EVCS - ChargeMOD,Munduparamba,Kerala,11.054224531620463,76.09214302066454,ChargeMod (IN),Public - Membership Required,CHAdeMO,30.0
Malappuram KSEB EVCS - ChargeMOD,Munduparamba,Kerala,11.054224531620463,76.09214302066454,ChargeMod (IN),Public - Membership Required,Type 2 (Tethered Connector) ,22.0
Malappuram KSEB EVCS - ChargeMOD,Munduparamba,Kerala,11.054224531620463,76.09214302066454,ChargeMod (IN),Public - Membership Required,GB-T DC - GB/T 20234.3,15.0
Krishna Enterprises - ChargeMOD,Manjeri,Kerala,11.123033354978745,76.11586842746766,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Golden Baked EVCS - ChargeMOD,Manjeri,Kerala,11.123411072326249,76.1241851617412,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
EcoCharge EVCS - ChargeMOD,Pandikkad,Kerala,11.096399860074243,76.21070705445254,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
EcoCharge EVCS - ChargeMOD,Pandikkad,Kerala,11.096399860074243,76.21070705445254,ChargeMod (IN),Public - Membership Required,CEE 3 Pin,3.3
MKM Melattur (EVOK) - ChargeMOD,Melattur,Kerala,11.056208090445125,76.2785120254236,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
MKM Melattur (EVOK) - ChargeMOD,Melattur,Kerala,11.056208090445125,76.2785120254236,ChargeMod (IN),Public - Membership Required,CEE 3 Pin,3.3
Green Drive EVCS - ChargeMOD,Vengoor,Kerala,11.034502393123475,76.261886610857,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Hotel Mughal Park - ChargeMOD,Perinthalmanna,Kerala,10.977193894783383,76.22165088752695,ChargeMod (IN),Public - Membership Required,CCS (Type 2),60.0
Avenue Plaza - ChargeMOD,Mannarkkad,Kerala,10.98886452092161,76.43668850614375,ChargeMod (IN),Public - Membership Required,CCS (Type 2),60.0
Velanthavalam,Vellamthavalam,Kerala,10.809362994233211,76.8463215936606,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Velanthavalam,Vellamthavalam,Kerala,10.809362994233211,76.8463215936606,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Velanthavalam,Vellamthavalam,Kerala,10.809362994233211,76.8463215936606,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Velanthavalam,Vellamthavalam,Kerala,10.809362994233211,76.8463215936606,ChargeMod (IN),Public - Membership Required,CEE 3 Pin,3.3
Flash Charge EVCS - ChargeMOD,Kanjikkode,Kerala,10.802279980273397,76.78520298821064,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Flash Charge EVCS - ChargeMOD,Kanjikkode,Kerala,10.802279980273397,76.78520298821064,ChargeMod (IN),Public - Membership Required,CEE 3 Pin,3.3
Electrica EVCS - ChargeMOD,Palakkad,Kerala,10.785354858796723,76.60395568328437,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Electrica EVCS - ChargeMOD,Palakkad,Kerala,10.785354858796723,76.60395568328437,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Sihla Energy - ChargeMOD,Mundur,Kerala,10.839491845338173,76.57999971285125,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Lakshmi KRS EVCS - ChargeMOD,Sreekrishnapuram,Kerala,10.898080110436226,76.39529564847953,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Evee Buddy - ChargeMOD,Lakkidi,Kerala,10.778142494678946,76.43743038448139,ChargeMod (IN),Public - Membership Required,CCS (Type 2),60.0
Kulappully KSEB EVCS - ChargeMOD,Kulappully,Kerala,10.779746009556462,76.28528085807898,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
Kulappully KSEB EVCS - ChargeMOD,Kulappully,Kerala,10.779746009556462,76.28528085807898,ChargeMod (IN),Public - Membership Required,CCS (Type 2),30.0
